date,open,high,low,close,adjusted_close,volume,symbol
2010-01-04,213.43,214.4996,212.38,214.0096,6.4403,493729600,AAPL
2010-01-04,36.65,37.3,36.65,37.09,37.09,4710112,ADBE
2010-01-04,136.25,136.61,133.14,133.9,6.695,152010858,AMZN
2010-01-04,59.13,60.07,59.13,59.41,42.3356,3280200,COST
2010-01-04,74.61,75.53,74.19,74.82,18.6011,7908520,CRM
2010-01-04,20.79,21.03,20.73,20.88,13.5215,47800898,INTC
2010-01-04,30.62,31.1,30.59,30.95,23.2581,38409100,MSFT
2010-01-04,55.52,55.73,52.96,53.48,7.64,17240075,NFLX
2010-01-04,18.51,18.62,18.11,18.49,0.4239,800352792,NVDA
2010-01-04,61.19,61.52,60.64,61.24,39.1349,6585871,PEP
2010-01-04,46.79,47.315,46.57,46.94,31.888,14570160,QCOM
2010-01-05,214.6004,215.5888,213.2508,214.3792,6.4515,601904800,AAPL
2010-01-05,37.04,37.8,36.87,37.7,37.7,7108727,ADBE
2010-01-05,133.43,135.479,131.81,134.69,6.7345,177129118,AMZN
2010-01-05,59.26,59.42,58.84,59.23,42.2074,2775800,COST
2010-01-05,74.45,75.0,72.8,74.5,18.5216,7942984,CRM
2010-01-05,20.94,20.99,20.6,20.87,13.515,52360770,INTC
2010-01-05,30.85,31.1,30.64,30.96,23.2656,49749600,MSFT
2010-01-05,53.57,53.6,50.81,51.51,7.3586,23753442,NFLX
2010-01-05,18.42,18.96,18.42,18.76,0.4301,728697553,NVDA
2010-01-05,61.0,62.1,60.9,61.98,39.6078,8886806,PEP
2010-01-05,47.52,48.32,47.5,48.07,32.6557,24246250,QCOM
2010-01-06,214.3792,215.2304,210.7504,210.9688,6.3488,552160000,AAPL
2010-01-06,37.33,37.74,37.2,37.62,37.62,5336345,ADBE
2010-01-06,134.6,134.73,131.65,132.25,6.6125,143619538,AMZN
2010-01-06,59.07,60.05,59.0,60.0,42.7561,3722900,COST
2010-01-06,74.75,75.0,73.98,74.37,18.4892,5122148,CRM
2010-01-06,20.81,20.93,20.67,20.8,13.4697,40037359,INTC
2010-01-06,30.88,31.08,30.52,30.77,23.1228,58182400,MSFT
2010-01-06,51.53,53.71,50.38,53.32,7.6171,23294557,NFLX
2010-01-06,18.75,18.92,18.57,18.88,0.4328,649166794,NVDA
2010-01-06,61.99,62.47,61.23,61.36,39.2116,9999180,PEP
2010-01-06,48.26,48.43,47.38,47.6,32.3364,22750090,QCOM
2010-01-07,211.75,211.9992,209.0508,210.5796,6.3371,477131200,AAPL
2010-01-07,37.41,37.5865,36.81,36.89,36.89,5576649,ADBE
2010-01-07,132.01,132.32,128.8,130.0,6.5,220602397,AMZN
2010-01-07,60.08,60.44,59.26,59.71,42.5494,4527600,COST
2010-01-07,74.52,74.95,73.54,74.04,18.4072,4841472,CRM
2010-01-07,20.73,20.76,20.34,20.6,13.3402,54041449,INTC
2010-01-07,30.63,30.7,30.19,30.45,22.8824,50559700,MSFT
2010-01-07,54.12,54.3,52.2406,52.4,7.4857,9955204,NFLX
2010-01-07,18.78,18.86,18.37,18.51,0.4243,547790035,NVDA
2010-01-07,61.35,61.38,60.53,60.97,38.9624,10792880,PEP
2010-01-07,47.75,49.02,47.55,48.98,33.2739,25266289,QCOM
2010-01-08,210.2996,211.9992,209.0592,211.9796,6.3792,447610800,AAPL
2010-01-08,36.75,36.97,36.34,36.69,36.69,5429158,ADBE
2010-01-08,130.56,133.68,129.03,133.52,6.676,196676577,AMZN
2010-01-08,59.47,59.61,59.1,59.28,42.243,2348300,COST
2010-01-08,74.07,74.35,73.26,74.15,18.4345,5510144,CRM
2010-01-08,20.54,20.89,20.4,20.83,13.4891,48234680,INTC
2010-01-08,30.28,30.88,30.24,30.66,23.0402,51197400,MSFT
2010-01-08,52.49,54.2,52.26,53.3,7.6143,8180697,NFLX
2010-01-08,18.36,18.682,18.25,18.55,0.4252,478175995,NVDA
